Id,Upper_Sensor,Lower_Sensor,Rotation,ComputedPosture,MannequinPosture,Timestamp
1,21.879589557647705,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.21
2,21.875500679016113,9.576153755187988,12.0,bent,bent,08-10-2022_16.35.22
3,21.879589557647705,9.592509269714355,13.0,bent,bent,08-10-2022_16.35.22
4,21.879589557647705,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.22
5,22.182166576385498,12.548768520355225,13.0,bent,bent,08-10-2022_16.35.22
6,22.182166576385498,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.22
7,22.218966484069824,14.683163166046143,13.0,bent,bent,08-10-2022_16.35.23
8,22.182166576385498,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.23
9,22.19034433364868,12.548768520355225,13.0,bent,bent,08-10-2022_16.35.23
10,22.182166576385498,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.23
11,22.19034433364868,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.23
12,22.19034433364868,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.23
13,22.218966484069824,14.683163166046143,12.0,bent,bent,08-10-2022_16.35.24
14,22.218966484069824,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.24
15,22.443854808807373,12.548768520355225,12.0,bent,bent,08-10-2022_16.35.24
16,22.218966484069824,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.24
17,22.218966484069824,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.24
18,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
19,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
20,22.18625545501709,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
21,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
22,22.218966484069824,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
23,22.443854808807373,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.25
24,22.443854808807373,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.26
25,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.26
26,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.26
27,22.18625545501709,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.26
28,22.19034433364868,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.26
29,22.18625545501709,9.600687026977539,12.0,bent,bent,08-10-2022_16.35.26
30,22.18625545501709,10.508418083190918,12.0,bent,bent,08-10-2022_16.35.27
31,22.182166576385498,9.600687026977539,12.0,bent,bent,08-10-2022_16.35.27
32,22.178077697753906,9.600687026977539,12.0,bent,bent,08-10-2022_16.35.27
33,22.153544425964355,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.27
34,22.149455547332764,9.592509269714355,12.0,bent,bent,08-10-2022_16.35.27
35,22.149455547332764,9.600687026977539,12.0,bent,bent,08-10-2022_16.35.28
36,22.13718891143799,10.201752185821533,12.0,bent,bent,08-10-2022_16.35.28
37,22.13718891143799,10.508418083190918,11.0,bent,bent,08-10-2022_16.35.28
38,22.124922275543213,10.508418083190918,11.0,bent,bent,08-10-2022_16.35.28
39,21.626079082489014,10.766017436981201,11.0,bent,bent,08-10-2022_16.35.28
40,21.59336805343628,10.774195194244385,11.0,bent,bent,08-10-2022_16.35.28
41,21.577012538909912,10.774195194244385,11.0,bent,bent,08-10-2022_16.35.29
42,21.540212631225586,10.774195194244385,11.0,bent,bent,08-10-2022_16.35.29
43,21.540212631225586,10.774195194244385,11.0,bent,bent,08-10-2022_16.35.29
44,21.540212631225586,10.766017436981201,10.0,bent,bent,08-10-2022_16.35.29
45,21.540212631225586,10.508418083190918,10.0,bent,bent,08-10-2022_16.35.29
46,21.540212631225586,10.201752185821533,10.0,bent,bent,08-10-2022_16.35.30
47,21.32350206375122,9.870553016662598,6.0,bent,bent,08-10-2022_16.35.30
48,21.02501392364502,9.833753108978271,6.0,bent,bent,08-10-2022_16.35.30
49,21.02501392364502,9.833753108978271,6.0,bent,bent,08-10-2022_16.35.30
50,21.02501392364502,9.833753108978271,6.0,bent,bent,08-10-2022_16.35.30
51,21.540212631225586,9.870553016662598,6.0,bent,bent,08-10-2022_16.35.30
52,21.02501392364502,9.870553016662598,6.0,bent,bent,08-10-2022_16.35.31
53,21.02501392364502,10.160863399505615,6.0,bent,bent,08-10-2022_16.35.31
54,21.02501392364502,10.160863399505615,14.0,bent,bent,08-10-2022_16.35.31
55,21.540212631225586,9.870553016662598,16.0,bent,bent,08-10-2022_16.35.32
56,21.02501392364502,9.833753108978271,22.0,bent,bent,08-10-2022_16.35.32
57,21.012747287750244,9.576153755187988,25.0,bent,bent,08-10-2022_16.35.32
58,20.701992511749268,9.833753108978271,63.0,bent,bent,08-10-2022_16.35.32
59,20.338082313537598,9.833753108978271,63.0,bent,bent,08-10-2022_16.35.32
60,20.338082313537598,9.576153755187988,63.0,bent,bent,08-10-2022_16.35.32
61,20.02323865890503,9.28584337234497,63.0,bent,bent,08-10-2022_16.35.33
62,17.47586727142334,9.28584337234497,53.0,bent,bent,08-10-2022_16.35.33
63,17.15693473815918,9.003710746765137,63.0,straight,bent,08-10-2022_16.35.33
64,16.829824447631836,9.28584337234497,63.0,straight,bent,08-10-2022_16.35.33
65,16.829824447631836,9.314465522766113,65.0,straight,bent,08-10-2022_16.35.33
66,16.2492036819458,9.314465522766113,67.0,straight,bent,08-10-2022_16.35.33
67,15.594983100891113,9.576153755187988,67.0,straight,bent,08-10-2022_16.35.34
68,15.58680534362793,9.596598148345947,67.0,straight,bent,08-10-2022_16.35.34
69,15.58680534362793,9.596598148345947,67.0,straight,bent,08-10-2022_16.35.34
70,15.58680534362793,9.58024263381958,68.0,straight,bent,08-10-2022_16.35.34
71,15.58680534362793,9.58024263381958,68.0,straight,bent,08-10-2022_16.35.34
72,15.570449829101562,9.58024263381958,68.0,straight,bent,08-10-2022_16.35.34
73,15.58680534362793,9.58024263381958,67.0,straight,bent,08-10-2022_16.35.35
74,15.58680534362793,9.596598148345947,67.0,straight,bent,08-10-2022_16.35.35
75,15.58680534362793,10.451173782348633,66.0,straight,bent,08-10-2022_16.35.35
76,15.58680534362793,10.455262660980225,65.0,straight,bent,08-10-2022_16.35.35
77,15.58680534362793,10.459351539611816,63.0,straight,bent,08-10-2022_16.35.35
78,15.594983100891113,10.459351539611816,63.0,straight,bent,08-10-2022_16.35.35
79,15.864849090576172,10.455262660980225,60.0,bent,bent,08-10-2022_16.35.36
80,15.864849090576172,10.455262660980225,60.0,bent,bent,08-10-2022_16.35.36
81,16.15924835205078,10.459351539611816,60.0,bent,bent,08-10-2022_16.35.36
82,16.191959381103516,10.459351539611816,60.0,bent,bent,08-10-2022_16.35.36
83,16.191959381103516,10.459351539611816,56.0,bent,bent,08-10-2022_16.35.36
84,16.15924835205078,10.459351539611816,56.0,bent,bent,08-10-2022_16.35.36
85,15.893471240997314,10.455262660980225,55.0,bent,bent,08-10-2022_16.35.37
86,15.893471240997314,10.455262660980225,55.0,bent,bent,08-10-2022_16.35.37
87,15.893471240997314,10.451173782348633,55.0,bent,bent,08-10-2022_16.35.37
88,15.90573787689209,10.455262660980225,54.0,bent,bent,08-10-2022_16.35.37
89,15.893471240997314,10.455262660980225,54.0,bent,bent,08-10-2022_16.35.37
90,15.893471240997314,10.459351539611816,54.0,bent,bent,08-10-2022_16.35.37
91,15.864849090576172,10.500240325927734,54.0,bent,bent,08-10-2022_16.35.38
92,15.893471240997314,10.500240325927734,53.0,bent,bent,08-10-2022_16.35.38
93,15.864849090576172,9.9196195602417,53.0,bent,bent,08-10-2022_16.35.38
94,15.852582454681396,9.62522029876709,53.0,bent,bent,08-10-2022_16.35.38
95,15.852582454681396,9.60477590560913,53.0,bent,bent,08-10-2022_16.35.39
96,15.893471240997314,9.60477590560913,53.0,bent,bent,08-10-2022_16.35.39
97,15.852582454681396,9.60477590560913,53.0,bent,bent,08-10-2022_16.35.39
98,15.852582454681396,9.596598148345947,53.0,bent,bent,08-10-2022_16.35.39
99,15.844404697418213,9.596598148345947,52.0,bent,bent,08-10-2022_16.35.39
100,15.648138523101807,9.60477590560913,52.0,bent,bent,08-10-2022_16.35.39
101,15.648138523101807,9.60477590560913,52.0,bent,bent,08-10-2022_16.35.40
102,15.648138523101807,9.596598148345947,51.0,bent,bent,08-10-2022_16.35.40
103,15.844404697418213,9.596598148345947,51.0,bent,bent,08-10-2022_16.35.40
104,15.844404697418213,9.567975997924805,51.0,bent,bent,08-10-2022_16.35.40
105,15.648138523101807,9.60477590560913,51.0,bent,bent,08-10-2022_16.35.40
106,15.844404697418213,9.60477590560913,51.0,bent,bent,08-10-2022_16.35.40
107,15.648138523101807,9.567975997924805,51.0,bent,bent,08-10-2022_16.35.41
108,15.648138523101807,9.567975997924805,51.0,bent,bent,08-10-2022_16.35.41
109,15.648138523101807,9.003710746765137,51.0,bent,bent,08-10-2022_16.35.41
